iter	RMSE
2508	0.07839296866
2509	0.07834787283
2510	0.07828061973
2511	0.07817660828
2512	0.07815629115
2513	0.07812037857
2514	0.07806865645
2515	0.07804197041
2516	0.07794660427
2517	0.07793454134
2518	0.07785397941
2519	0.0778109951
2520	0.0777800475
2521	0.0777237887
2522	0.07769155098
2523	0.07764315443
2524	0.07760398782
2525	0.07753154257
2526	0.07747921999
2527	0.07743843183
2528	0.07742614413
2529	0.0774005203
2530	0.07736303546
2531	0.07731425053
2532	0.077276099
2533	0.07722241653
2534	0.0772058818
2535	0.0771939132
2536	0.07717459481
2537	0.07713617688
2538	0.07711533566
2539	0.07707117239
2540	0.07699167505
2541	0.07695539566
2542	0.07691422262
2543	0.07687648904
2544	0.07682876
2545	0.07677703252
2546	0.07673949949
2547	0.07667480762
2548	0.0766408595
2549	0.07659404249
2550	0.07656499826
2551	0.07654959782
2552	0.07649085523
2553	0.07641390271
2554	0.07635494122
2555	0.07633872128
2556	0.07631307343
2557	0.07625497496
2558	0.07621775045
2559	0.07618048957
2560	0.07609712374
2561	0.07606489733
2562	0.07600266936
2563	0.07596363517
2564	0.07593465634
2565	0.07589318045
2566	0.07585429556
2567	0.07579719568
2568	0.0757649201
2569	0.07568573915
2570	0.07559870779
2571	0.07554683799
2572	0.0754949337
2573	0.07547397568
2574	0.07541232495
2575	0.07536527048
2576	0.07534350642
2577	0.0753084207
2578	0.0752683775
2579	0.07522097221
2580	0.07516341401
2581	0.07511144153
2582	0.07505115997
2583	0.07503486536
2584	0.07502538551
2585	0.07498169963
2586	0.07495591971
2587	0.07491816411
2588	0.07480675589
2589	0.0747624092
2590	0.07470687514
2591	0.07465665213
2592	0.07461123778
2593	0.07455660498
2594	0.07452764627
2595	0.07448571973
2596	0.0744621756
2597	0.07441379849
2598	0.07439991773
2599	0.07436612516
2600	0.07432344704
2601	0.0743069263
2602	0.07427345666
2603	0.07422454728
2604	0.07421261315
2605	0.07420014975
2606	0.07416526327
2607	0.07410602306
2608	0.07405126705
2609	0.07402067218
2610	0.07399653557
2611	0.07395262138
2612	0.07391031882
2613	0.07386934346
2614	0.07381912777
2615	0.07371269032
2616	0.07368900616
2617	0.07364700991
2618	0.07362380065
2619	0.07359128298
2620	0.07354586801
2621	0.07346299085
2622	0.07343529021
2623	0.07335995922
2624	0.07332145689
2625	0.07327418751
2626	0.0731991197
2627	0.07315252692
2628	0.07311914248
2629	0.07307187473
2630	0.07305763166
2631	0.07302757155
2632	0.07297412172
2633	0.07292417113
2634	0.0728852049
2635	0.07282017245
2636	0.07278945862
2637	0.07273642442
2638	0.07268632613
2639	0.07266354305
2640	0.07262608685
2641	0.07260167083
2642	0.07258113651
2643	0.07253834472
2644	0.07249261336
2645	0.07244812043
2646	0.07243380832
2647	0.07237660161
2648	0.0723075772
2649	0.07224418481
2650	0.07218901597
2651	0.07214068374
2652	0.07205682393
2653	0.07202339084
2654	0.07198929394
2655	0.07193753808
2656	0.07190996179
2657	0.07188323166
2658	0.0718134663
2659	0.0717824228
2660	0.07174004582
2661	0.07171992747
2662	0.07169531397
2663	0.07165814828
2664	0.07158764018
2665	0.07156591396
2666	0.07153786206
2667	0.07146226464
2668	0.07141202936
2669	0.07139132414
2670	0.07134340952
2671	0.07129467791
2672	0.07127382116
2673	0.07121637669
2674	0.07113506689
2675	0.07112725728
2676	0.07111785317
2677	0.07107831715
2678	0.07106561153
2679	0.0710249031
2680	0.07097820284
2681	0.07090796395
2682	0.0708926038
2683	0.07087125317
2684	0.07085237958
2685	0.07081287161
2686	0.07077485457
2687	0.0707493951
2688	0.07072617532
2689	0.07069903546
2690	0.0706471485
2691	0.07063382461
2692	0.07059749731
2693	0.07054648137
2694	0.07049007563
2695	0.07044164759
2696	0.07038785882
2697	0.07033946651
2698	0.07031279452
2699	0.070280421
2700	0.07025374784
2701	0.07023500818
2702	0.07020464464
2703	0.07016653468
2704	0.07009482265
2705	0.07004937684
2706	0.07001409493
2707	0.06997886797
2708	0.06993850494
2709	0.06990352842
2710	0.06985631477
2711	0.06982849927
2712	0.06976760242
2713	0.06973806888
2714	0.06967489357
2715	0.06964049663
2716	0.06962286029
2717	0.06960408625
2718	0.06957119394
2719	0.06954912082
2720	0.0694833597
2721	0.06939692219
2722	0.06935759098
2723	0.06933509355
2724	0.06930751161
2725	0.06927489044
2726	0.06921238073
2727	0.06913231698
2728	0.0691115346
2729	0.06907202192
2730	0.06903882674
2731	0.0689927629
2732	0.06894336047
2733	0.06890398088
2734	0.06885720578
2735	0.06883603007
2736	0.06882081652
2737	0.0687449694
2738	0.06871884231
2739	0.06868581573
2740	0.06865409883
2741	0.06862930061
2742	0.06860131878
2743	0.06852334962
2744	0.06848642655
2745	0.06842500993
2746	0.06838302077
2747	0.06836375354
2748	0.06829918806
2749	0.06824569918
2750	0.06821171013
2751	0.06817422006
2752	0.06812543763
2753	0.06809751021
2754	0.06807349514
2755	0.06804914277
2756	0.06801588945
2757	0.06798948671
2758	0.06794866243
2759	0.06788551373
2760	0.06786036328
2761	0.06783850883
2762	0.06780066826
2763	0.06775448151
2764	0.06772917237
2765	0.06770009295
2766	0.06767488903
2767	0.06763353597
2768	0.06760870785
2769	0.06755562603
2770	0.06753265417
2771	0.06749981758
2772	0.06744397787
2773	0.06739281989
2774	0.06736595903
2775	0.06728795437
2776	0.06726867666
2777	0.06724726926
2778	0.06722127052
2779	0.0671921411
2780	0.06714128053
2781	0.06712626713
2782	0.06709625942
2783	0.06703718327
2784	0.06701510807
2785	0.06698902227
2786	0.06691145036
2787	0.06688061335
2788	0.06682420218
2789	0.06677668569
2790	0.06675289393
2791	0.06669265186
2792	0.06665093286
2793	0.06662854358
2794	0.06659661079
2795	0.06656394296
2796	0.06654054446
2797	0.0664728662
2798	0.06644018992
2799	0.06641879681
2800	0.0663927741
2801	0.06634547344
2802	0.06631616055
2803	0.06630512962
2804	0.06630182069
2805	0.06627589153
2806	0.06624156541
2807	0.06620164036
2808	0.06616891327
2809	0.06614341904
2810	0.06611154776
2811	0.0660798779
2812	0.06605961535
2813	0.06601891528
2814	0.06595130389
2815	0.06589365646
2816	0.06587418679
2817	0.06582413225
2818	0.06580116639
2819	0.06576527875
2820	0.06574021054
2821	0.06570073171
2822	0.06567712767
2823	0.06561018701
2824	0.06556274147
2825	0.06552126552
2826	0.06547804447
2827	0.06544904185
2828	0.06539698491
2829	0.06533190163
2830	0.06531386994
2831	0.06529841444
2832	0.06529100372
2833	0.06522398808
2834	0.06519821044
2835	0.06517078368
2836	0.06513401005
2837	0.06509898504
2838	0.06506185326
2839	0.06504807795
2840	0.065022232
2841	0.06499840613
2842	0.06495027616
2843	0.06492156242
2844	0.0649120802
2845	0.06487950251
2846	0.06482193836
2847	0.0647907484
2848	0.06475775281
2849	0.06472183873
2850	0.06467366838
2851	0.06463555879
2852	0.06461611502
2853	0.06454314693
2854	0.06451510245
